date,K_dynamic
2003-01-31,17
2003-02-28,18
2003-03-31,18
2003-04-30,18
2003-05-30,18
2003-06-30,18
2003-07-31,18
2003-08-29,18
2003-09-30,18
2003-10-31,18
2003-11-28,18
2003-12-31,19
2004-01-30,19
2004-02-27,19
2004-03-31,19
2004-04-30,19
2004-05-28,19
2004-06-30,19
2004-07-30,19
2004-08-31,19
2004-09-30,19
2004-10-29,19
2004-11-30,19
2004-12-31,19
2005-01-31,19
2005-02-28,19
2005-03-31,19
2005-04-29,19
2005-05-31,19
2005-06-30,19
2005-07-29,19
2005-08-31,19
2005-09-30,19
2005-10-31,20
2005-11-30,20
2005-12-30,20
2006-01-31,20
2006-02-28,20
2006-03-31,20
2006-04-28,20
2006-05-31,20
2006-06-30,20
2006-07-31,20
2006-08-31,20
2006-09-29,20
2006-10-31,20
2006-11-30,20
2006-12-29,20
2007-01-31,20
2007-02-28,20
2007-03-30,20
2007-04-30,20
2007-05-31,20
2007-06-29,20
2007-07-31,20
2007-08-31,20
2007-09-28,20
2007-10-31,20
2007-11-30,20
2007-12-31,20
2008-01-31,20
2008-02-29,20
2008-03-31,20
2008-04-30,20
2008-05-30,19
2008-06-30,19
2008-07-31,19
2008-08-29,19
2008-09-30,18
2008-10-31,18
2008-11-28,18
2008-12-31,17
2009-01-30,17
2009-02-27,17
2009-03-31,16
2009-04-30,16
2009-05-29,16
2009-06-30,16
2009-07-31,16
2009-08-31,16
2009-09-30,16
2009-10-30,16
2009-11-30,16
2009-12-31,16
2010-01-29,17
2010-02-26,17
2010-03-31,17
2010-04-30,17
2010-05-28,17
2010-06-30,17
2010-07-30,17
2010-08-31,17
2010-09-30,17
2010-10-29,17
2010-11-30,17
2010-12-31,17
2011-01-31,17
2011-02-28,16
2011-03-31,16
2011-04-29,16
2011-05-31,16
2011-06-30,16
2011-07-29,16
2011-08-31,16
2011-09-30,16
2011-10-31,16
2011-11-30,17
2011-12-30,17
2012-01-31,17
2012-02-29,18
2012-03-30,18
2012-04-30,19
2012-05-31,19
2012-06-29,20
2012-07-31,20
2012-08-31,20
2012-09-28,20
2012-10-31,20
2012-11-30,20
2012-12-31,20
2013-01-31,20
2013-02-28,20
2013-03-28,20
2013-04-30,20
2013-05-31,20
2013-06-28,20
2013-07-31,20
2013-08-30,20
2013-09-30,20
2013-10-31,20
2013-11-29,20
2013-12-31,20
2014-01-31,20
2014-02-28,20
2014-03-31,20
2014-04-30,20
2014-05-30,20
2014-06-30,20
2014-07-31,20
2014-08-29,20
2014-09-30,20
2014-10-31,20
2014-11-28,20
2014-12-31,20
2015-01-30,20
2015-02-27,20
2015-03-31,20
2015-04-30,20
2015-05-29,20
2015-06-30,20
2015-07-31,20
2015-08-31,20
2015-09-30,20
2015-10-30,19
2015-11-30,19
2015-12-31,20
2016-01-29,19
2016-02-29,19
2016-03-31,19
2016-04-29,19
2016-05-31,19
2016-06-30,19
2016-07-29,19
2016-08-31,19
2016-09-30,19
2016-10-31,19
2016-11-30,19
2016-12-30,19
2017-01-31,19
2017-02-28,19
2017-03-31,19
2017-04-28,19
2017-05-31,19
2017-06-30,19
2017-07-31,19
2017-08-31,19
2017-09-29,19
2017-10-31,19
2017-11-30,19
2017-12-29,19
2018-01-31,19
2018-02-28,19
2018-03-29,19
2018-04-30,19
2018-05-31,19
2018-06-29,19
2018-07-31,19
2018-08-31,19
2018-09-28,19
2018-10-31,19
2018-11-30,19
2018-12-31,19
2019-01-31,19
2019-02-28,19
2019-03-29,19
2019-04-30,19
2019-05-31,19
2019-06-28,19
2019-07-31,19
2019-08-30,19
2019-09-30,19
2019-10-31,19
2019-11-29,20
2019-12-31,20
2020-01-31,20
2020-02-28,20
2020-03-31,19
2020-04-30,19
2020-05-29,19
2020-06-30,19
2020-07-31,18
2020-08-31,18
2020-09-30,18
2020-10-30,18
2020-11-30,18
